trajectory_id,split,index,du,dv,k,ic_seed,nfev,max_abs_state,final_mean_u,final_mean_v,final_std_u,final_std_v
v2-training-0383,training,383,0.0009406810927557498,0.004347833905475662,0.005799828799586066,20461305,4169,1.7589722871780396,-0.02137034758925438,-0.02140706218779087,0.43348628282546997,0.22404085099697113
v2-training-0384,training,384,0.0010790351551999114,0.005231164674672095,0.005750732135269745,20461306,4745,2.035606861114502,-0.029849154874682426,-0.029892724007368088,0.4423176944255829,0.22823192179203033
v2-training-0385,training,385,0.0011766546170442643,0.004156198707880555,0.005636263737623714,20461307,3965,2.0498745441436768,-0.03042079508304596,-0.030447527766227722,0.37595051527023315,0.21521587669849396
v2-training-0386,training,386,0.0008482402351894919,0.005777912861457231,0.00479891693125231,20461308,5249,1.3588826656341553,-0.018140330910682678,-0.01812644489109516,0.5054523348808289,0.2255692481994629
v2-training-0387,training,387,0.001041784925275804,0.0045170230408266105,0.004778412733687193,20461309,4181,2.611372232437134,-0.02105671353638172,-0.021088533103466034,0.4167700707912445,0.2235504388809204
v2-training-0388,training,388,0.0011211798246943837,0.0050803506040137435,0.005966601393245663,20461310,4757,1.9291132688522339,-0.01736072078347206,-0.017432840541005135,0.43188998103141785,0.22625556588172913
v2-training-0389,training,389,0.0010147221286303015,0.005814457914406398,0.005850719694920494,20461311,5225,1.5511069297790527,-0.0193533543497324,-0.019442403689026833,0.47598791122436523,0.23130197823047638
v2-training-0390,training,390,0.0010444075625410565,0.005087652787314791,0.005942736248797052,20461312,4745,1.37254798412323,-0.022516189143061638,-0.022575534880161285,0.4413298964500427,0.23093155026435852
v2-training-0391,training,391,0.0011080800868872723,0.00571370631989507,0.00403515808951172,20461313,5141,1.6256262063980103,-0.00648102443665266,-0.006440736353397369,0.4574035704135895,0.22636976838111877
v2-training-0392,training,392,0.0009491451122247141,0.004885949837705186,0.005352998318335917,20461314,4577,1.4069902896881104,-0.01834688149392605,-0.0182957760989666,0.45523789525032043,0.22944270074367523
v2-training-0393,training,393,0.0008672718438708413,0.005047344907174824,0.005444015140595041,20461315,4649,1.3346166610717773,-0.01583126373589039,-0.015737518668174744,0.4810527563095093,0.23301459848880768
